persona,imagenes
George W Bush,530
Colin Powell,236
Tony Blair,144
Donald Rumsfeld,121
Gerhard Schroeder,109
Ariel Sharon,77
Hugo Chavez,71
Junichiro Koizumi,60
Jean Chretien,55
John Ashcroft,53
Jacques Chirac,52
Serena Williams,52
Vladimir Putin,49
Luiz Inacio Lula da Silva,48
Gloria Macapagal Arroyo,44
Arnold Schwarzenegger,42
Jennifer Capriati,42
Lleyton Hewitt,41
Laura Bush,41
Hans Blix,39
Alejandro Toledo,39
Nestor Kirchner,37
Andre Agassi,36
Alvaro Uribe,35
Tom Ridge,33
Megawati Sukarnoputri,33
Silvio Berlusconi,33
Roh Moo-hyun,32
Kofi Annan,32
Vicente Fox,32
John Negroponte,31
David Beckham,31
Recep Tayyip Erdogan,30
Guillermo Coria,30
Bill Clinton,29
Mahmoud Abbas,29
Juan Carlos Ferrero,28
Jack Straw,28
Ricardo Lagos,27
Gray Davis,26
Rudolph Giuliani,26
Tom Daschle,25
