usuario,K,positivos_train,positivos_test,accuracy_ingenuo,accuracy,precision,recall,f1,TN,FP,FN,TP
George W Bush,10,424,106,0.7953667953667953,0.7799227799227799,0.34615384615384615,0.08490566037735849,0.13636363636363635,395,17,97,9
George W Bush,25,424,106,0.7953667953667953,0.8262548262548263,0.6176470588235294,0.39622641509433965,0.4827586206896552,386,26,64,42
George W Bush,50,424,106,0.7953667953667953,0.859073359073359,0.7142857142857143,0.5188679245283019,0.6010928961748634,390,22,51,55
George W Bush,100,424,106,0.7953667953667953,0.8938223938223938,0.7628865979381443,0.6981132075471698,0.729064039408867,389,23,32,74
George W Bush,250,424,106,0.7953667953667953,0.9015444015444015,0.7722772277227723,0.7358490566037735,0.7536231884057971,389,23,28,78
George W Bush,500,424,106,0.7953667953667953,0.9054054054054054,0.7821782178217822,0.7452830188679245,0.7632850241545893,390,22,27,79
Serena Williams,10,42,10,0.9806949806949807,0.9864864864864865,1.0,0.3,0.46153846153846156,508,0,7,3
Serena Williams,25,42,10,0.9806949806949807,0.9942084942084942,1.0,0.7,0.8235294117647058,508,0,3,7
Serena Williams,50,42,10,0.9806949806949807,0.9942084942084942,0.8888888888888888,0.8,0.8421052631578947,507,1,2,8
Serena Williams,100,42,10,0.9806949806949807,0.9903474903474904,1.0,0.5,0.6666666666666666,508,0,5,5
Serena Williams,250,42,10,0.9806949806949807,0.9903474903474904,1.0,0.5,0.6666666666666666,508,0,5,5
Serena Williams,500,42,10,0.9806949806949807,0.9903474903474904,1.0,0.5,0.6666666666666666,508,0,5,5
