artistID,artist_name,unique_listeners,total_plays,median_plays,log_weighted_popularity,rank_listeners,rank_plays,rank_change
89,Lady Gaga,611,1291387,590.0,3917.3768935437984,1,3,-2
289,Britney Spears,522,2393140,1000.5,3603.217435595907,2,1,1
288,Rihanna,484,905423,572.0,3027.8781317432795,3,7,-4
227,The Beatles,480,662116,464.0,2974.7905121936215,4,9,-5
300,Katy Perry,473,532545,484.0,2901.2257872835544,5,10,-5
67,Madonna,429,921198,468.0,2688.6566172680873,6,6,0
333,Avril Lavigne,417,525844,405.0,2477.9902862330946,7,11,-4
292,Christina Aguilera,407,1058405,739.0,2675.0362634479047,8,4,4
190,Muse,400,485076,349.5,2356.4315850085286,9,19,-10
498,Paramore,399,963449,417.0,2444.992467700879,10,5,5
295,Beyoncé,397,499318,378.0,2337.0536546463254,11,15,-4
154,Radiohead,393,385306,398.0,2368.570109937541,12,22,-10
65,Coldplay,369,330757,328.0,2098.6026848647857,13,29,-16
466,Ke$ha,362,384405,480.0,2185.7173673815387,14,23,-9
701,Shakira,319,688529,392.0,1895.344256604701,15,8,7
302,P!nk,305,207761,267.0,1706.5359431330128,16,42,-26
229,The Killers,304,191979,357.5,1770.2071580871218,17,48,-31
306,Black Eyed Peas,304,188634,231.0,1628.2349957457952,17,50,-33
55,Kylie Minogue,298,449292,493.5,1835.1765703548622,19,21,-2
461,Miley Cyrus,286,489065,370.0,1712.1277658141137,20,17,3
72,Depeche Mode,282,1301308,567.0,1817.5540358667133,21,2,19
377,Linkin Park,280,265362,340.0,1612.1923515946787,22,35,-13
157,Michael Jackson,266,296882,250.5,1501.9104950714705,23,32,-9
291,Kelly Clarkson,260,253027,395.0,1548.5391262359417,24,36,-12
163,Pink Floyd,258,466104,379.5,1548.6669773255985,25,20,5
234,Nirvana,258,190232,232.5,1408.0282881164208,25,49,-24
679,Glee Cast,249,506453,613.0,1559.0582529427559,27,14,13
207,Arctic Monkeys,248,288520,391.5,1487.905883756195,28,33,-5
344,Taylor Swift,247,525292,470.0,1526.8474935346728,29,12,17
298,Lily Allen,243,129352,277.0,1359.5520963268862,30,72,-42
173,Placebo,242,245878,520.5,1483.2429040850332,31,38,-7
257,Mariah Carey,241,384307,439.0,1446.239344953515,32,24,8
230,Green Day,236,155321,262.0,1333.2896971509454,33,57,-24
228,Kings of Leon,235,148452,285.0,1332.5051468712127,34,60,-26
349,The Pussycat Dolls,233,130855,314.0,1293.280768444724,35,69,-34
159,The Cure,229,151103,337.0,1293.6655805204757,36,59,-23
378,Evanescence,226,513476,265.5,1260.8773955059294,37,13,24
707,Metallica,224,371916,346.0,1330.3667857550324,38,25,13
220,Red Hot Chili Peppers,222,116768,261.0,1231.1759702172603,39,78,-39
486,30 Seconds to Mars,216,485532,285.5,1250.9793021207524,40,18,22
533,Oasis,210,165975,257.0,1172.6100290159422,41,53,-12
299,Jennifer Lopez,209,144710,271.0,1156.612297051631,42,61,-19
959,Queen,208,114505,217.5,1111.455669639862,43,81,-38
475,Eminem,204,321011,246.0,1136.589254462322,44,30,14
599,David Bowie,198,133511,318.0,1121.1676763647683,45,67,-22
1412,Led Zeppelin,196,203665,324.5,1125.3081565978061,46,44,2
903,Amy Winehouse,195,213103,251.0,1069.4558467240165,47,41,6
511,U2,185,493024,263.0,1046.7794280578921,48,16,32
424,The Strokes,184,130227,370.5,1061.0531018338072,49,70,-21
325,Ashley Tisdale,182,166644,340.5,1050.9116121132513,50,52,-2
198,System of a Down,181,277397,310.0,1034.7438768157174,51,34,17
706,AC/DC,180,99820,240.0,1007.339389171424,52,91,-39
917,Iron Maiden,177,368710,428.0,1066.5219244814725,53,26,27
1090,Franz Ferdinand,173,82999,268.0,966.7084683594792,54,120,-66
1098,Björk,172,202178,408.0,1020.6824623913706,55,45,10
318,Hilary Duff,169,123682,293.0,940.331744144068,56,74,-18
982,Foo Fighters,164,88086,322.5,909.9141074871679,57,110,-53
429,The Smiths,162,91740,341.5,912.6875842824395,58,103,-45
1249,Guns N' Roses,161,133931,226.0,870.9007839946966,59,66,-7
310,Nelly Furtado,161,110218,301.0,888.4171721240448,59,84,-25
294,Leona Lewis,160,162288,376.5,944.3337496156315,61,54,7
689,Florence + the Machine,159,113467,293.0,924.2652910197679,62,83,-21
209,My Chemical Romance,157,159733,298.0,914.1882906681118,63,56,7
328,David Guetta,155,63582,217.0,820.4601967256041,64,167,-103
418,Sigur Rós,153,133955,399.0,902.8537597603312,65,65,0
544,Adam Lambert,153,115538,283.0,864.4666393279842,65,79,-14
464,3OH!3,152,94179,266.0,845.615434539374,67,100,-33
56,Daft Punk,151,176043,245.0,843.4548417583545,68,51,17
412,blink-182,150,102334,262.0,855.1106461864339,69,87,-18
301,Alicia Keys,148,91066,232.5,814.7427741527456,70,105,-35
525,Gwen Stefani,145,65902,201.0,758.2584794552977,71,158,-87
1400,MGMT,143,86195,252.0,800.1490668988378,72,114,-42
686,Selena Gomez & the Scene,143,110123,360.0,809.0922219340625,72,85,-13
441,Joy Division,141,99296,292.0,786.342525378099,74,92,-18
538,Maroon 5,140,57009,214.5,742.722860995901,75,187,-112
1104,Rammstein,140,129745,275.0,780.3330251960502,75,71,4
329,Justin Timberlake,140,91169,230.0,748.7634145404622,75,104,-29
868,The Doors,139,95880,205.0,739.7284242369387,78,96,-18
233,Nine Inch Nails,138,160317,431.5,828.0249708416491,79,55,24
1246,Panic! At the Disco,135,120336,294.0,765.6223208990418,80,76,4
331,Kanye West,134,94501,285.5,740.184540340517,81,98,-17
217,Death Cab for Cutie,134,100298,435.5,799.6732776810726,81,89,-8
7,Marilyn Manson,133,96201,265.0,755.5386744630675,83,95,-12
735,The Rolling Stones,131,87432,231.0,696.8802628747873,84,112,-28
