resena_id,restaurante,calificacion,texto
1,El Pirata del Sabor Vegano,4,Cobran la propina sin avisar y el valor final sube. La cuenta salió cara y la factura traia cobros que no pedimos. El lugar estaba limpio y las sillas comodas. El lugar estaba limpio y las sillas comodas. El descuento del dia deja la cuenta muy barata. La cuenta salió cara y la factura traia cobros que no pedimos. Los precios subieron y ya no es económico. La cuenta fue economica y el valor esta justificado. Escribanme a quejas@laterraza.com si quieren la foto.
2,Muuu Said the Happy Cow,3,La música acompaña sin tapar la conversacion. El ambiente era deficiente por el ruido de la calle. La iluminación del salon es cálida. El servicio fue pésimo y tuvimos que llamar varias veces. La decoracion esta descuidada y la luz muy fuerte. Mas fotos en info@mercado93.co.
3,La Verdura Inquieta,4,La porción fue pequena para lo que ofrece el menu. Nos cobraron un valor distinto al de la carta. La presentación del plato acompaña el sabor. La sazón del plato quedó desbalanceada y demasiado salada. El precio de la carta me parecio mal para lo que sirven. El postre cerro la comida de forma notable. Pagamos $76.400 en total.
4,Casa Sazon,4,El personal no estaba pendiente de las mesas. Tomaron el pedido rápido y llego sin errores. Tienen precios claros y la factura llega detallada. Pagar aqui se siente razonable por lo que sirven. El mesero explico el menu con paciencia y fue cortés.
5,Mercado 93,3,Pedimos verduras y llegaron recalentadas. Los ingredientes se sentian frescos y la porcion generosa. Los ingredientes no se sentian frescos.
6,Mercado 93,3,La promocion que anuncian no aplicaba al pagar. Los precios subieron y ya no es económico. La cuenta fue economica y el valor esta justificado.
7,La Terraza del Chico,3,Los precios subieron y ya no es económico. El precio de la carta me parecio pésimo para lo que sirven. La promocion que anuncian no aplicaba al pagar. Los precios subieron y ya no es económico. Manejan una promocion de almuerzo que vale la pena. La cuenta fue economica y el valor esta justificado.!!!
8,Muuu Said the Happy Cow,3,Los ingredientes no se sentian frescos. La música estaba demasiado alta para conversar. El lugar se sentia estrecho y las sillas incomodas. La música estaba demasiado alta para conversar.
9,Muuu Said the Happy Cow,3,El espacio es amplio y se siente tranquilo. La musica estaba demasiado alta para conversar. El lugar se sentia estrecho y las sillas incomodas. Pedimos verduras y llegaron recalentadas. El sitio no estaba limpio cuando llegamos. Probamos el plato picante y el sabor era intenso pero equilibrado. El postre cerro la comida de forma muy bueno. La decoracion esta descuidada y la luz muy fuerte. El ambiente del lugar es deliciozo y muy acogedor.
10,La Verdura Inquieta,4,La decoración y la luz hacen agradable el espacio. El postre estaba pésimo y sin gracia. La música acompaña sin tapar la conversacion. La sazón de la casa es lo mejor del menu. Pedimos la carne y quedó en su punto exacto. Pedimos la carne y quedó en su punto exacto. El plato venia mal preparado y la carne seca.
11,El Pirata del Sabor Vegano,2,La promocion que anuncian no aplicaba al pagar. La cuenta fue economica y el valor esta justificado. El costo no corresponde con la calidad. La atencion hizo la diferencia en la visita. La porción fue pequena para lo que ofrece el menu. La sazon del plato quedó desbalanceada y demasiado salada.
12,Muuu Said the Happy Cow,4,La decoración y la luz hacen agradable el espacio. Las mesas están bien separadas y el sitio es silencioso. El ambiente era regular por el ruido de la calle. El espacio es amplio y se siente tranquilo. El lugar estaba limpio y las sillas comodas. El lugar se sentia estrecho y las sillas incomodas. La iluminación del salon es cálida. El sitio no estaba limpio cuando llegamos. Pagamos $120.000 en total.
13,Vegan Island,3,El costo no corresponde con la calidad. Los ingredientes se sentian frescos y la porción generosa. El precio de la carta me parecio flojo para lo que sirven. Es un lugar económico para el tamaño de las porciones.
14,El Pirata del Sabor Vegano,4,El ambiente era pésimo por el ruido de la calle. La música estaba demasiado alta para conversar. La cuenta fue economica y el valor esta justificado. Pagamos mucho por una porción pequena. La terraza tiene una vista bonita para la tarde. El precio de la carta me parecio deficiente para lo que sirven. El ambiente era mal por el ruido de la calle. Los precios subieron y ya no es económico. Las mesas están bien separadas y el sitio es silencioso. Llamen al 310 555 12 34 antes de ir.!!!
15,El Pirata del Sabor Vegano,1,PEDIMOS VERDURAS Y LLEGARON RECALENTADAS. PEDIMOS VERDURAS Y LLEGARON RECALENTADAS. LA PORCIÓN FUE PEQUENA PARA LO QUE OFRECE EL MENU. EL POSTRE ESTABA FLOJO Y SIN GRACIA. EL POSTRE CERRO LA COMIDA DE FORMA NOTABLE. EL PLATO VENIA DEFICIENTE PREPARADO Y LA CARNE SECA. LOS INGREDIENTES NO SE SENTIAN FRESCOS. LA COMIDA LLEGÓ FRIA Y SIN SABOR. LA COMIDA LLEGÓ FRIA Y SIN SABOR.
16,Casa Sazon,3,La terraza tiene una vista bonita para la tarde. La música estaba demasiado alta para conversar. Las mesas están bien separadas y el sitio es silencioso. La terraza estaba cerrada y no avisaron. Las mesas están bien separadas y el sitio es silencioso. La decoración y la luz hacen agradable el espacio. La música estaba demasiado alta para conversar. Habia mucho ruido y el espacio mal ventilado. La terraza estaba cerrada y no avisaron.
17,Casa Sazon,3,Manejan una promocion de almuerzo que vale la pena. La promocion que anuncian no aplicaba al pagar. Manejan una promocion de almuerzo que vale la pena. Manejan una promocion de almuerzo que vale la pena. La promocion que anuncian no aplicaba al pagar. La cuenta salio cara y la factura traia cobros que no pedimos. La promocion que anuncian no aplicaba al pagar.
18,Mercado 93,4,EL PLATO VENIA FLOJO PREPARADO Y LA CARNE SECA. LA DECORACIÓN Y LA LUZ HACEN AGRADABLE EL ESPACIO. PEDIMOS VERDURAS Y LLEGARON RECALENTADAS. EL POSTRE CERRO LA COMIDA DE FORMA CORRECTO. EL POSTRE CERRO LA COMIDA DE FORMA MUY BUENO. LA CUENTA FUE DE $45.000.
19,Paul's Mcarne Feast Palace,5,El descuento del dia deja la cuenta muy barata. Tienen precios claros y la factura llega detallada. La cuenta salió cara y la factura traia cobros que no pedimos. Tienen precios claros y la factura llega detallada. El descuento del dia deja la cuenta muy barata. Pagar aqui se siente razonable por lo que sirven. El descuento del dia deja la cuenta muy barata. Escribanme a quejas@laterraza.com si quieren la foto.!!!
20,El Pirata del Sabor Vegano,4,La música acompaña sin tapar la conversacion. La iluminación del salon es calida. El plato principal llegó bien preparado y con una sazón muy bueno. Pedimos verduras y llegaron recalentadas. El plato venia regular preparado y la carne seca. El lugar estaba limpio y las sillas comodas. El servicio fue deficiente y tuvimos que llamar varias veces.
21,La Verdura Inquieta,5,El valor de los platos esta por debajo del promedio de la zona. Cobran la propina sin avisar y el valor final sube. El descuento del dia deja la cuenta muy barata. La cuenta fue economica y el valor esta justificado. El presio de la carta me parecio flojo para lo que sirven. El precio es correcto para la calidad que ofrecen.
22,Paul's Mcarne Feast Palace,2,El sabor no corresponde a lo que promete la carta. Pedimos la carne y quedo en su punto exacto. El costo no corresponde con la calidad. Pusimos un reclamo y nadie respondió. El sabor no corresponde a lo que promete la carta. El mesero reviso el pedido antes de traerlo. La porción fue pequena para lo que ofrece el menu. Pagar aqui se siente razonable por lo que sirven. La sazón del plato quedo desbalanceada y demasiado salada.
23,Paul's Mcarne Feast Palace,5,Tienen precios claros y la factura llega detallada. El espacio es amplio y se siente tranquilo. Pagar aqui se siente razonable por lo que sirven. Llamen al 310 555 12 34 antes de ir.
