resena_id,theta_comida,theta_servicio,theta_precio,theta_ambiente,prop_comida,prop_servicio,prop_precio,prop_ambiente,tema_dominante,n_oraciones
1,0.0057,0.002994,0.691235,0.300071,0.0,0.0,0.75,0.25,precio,8
2,0.04944,0.239498,0.14974,0.561322,0.0,0.2,0.0,0.8,ambiente,5
3,0.794449,0.019713,0.175564,0.010275,0.666667,0.0,0.333333,0.0,comida,6
4,0.036783,0.483299,0.475843,0.004076,0.0,0.6,0.4,0.0,servicio,5
5,0.925607,0.048465,0.000809,0.025119,1.0,0.0,0.0,0.0,comida,3
6,0.046377,3.8e-05,0.934312,0.019273,0.0,0.0,1.0,0.0,precio,3
7,0.0,0.206352,0.770919,0.022729,0.0,0.0,1.0,0.0,precio,6
8,0.053162,0.076018,0.044502,0.826319,0.25,0.0,0.0,0.75,ambiente,4
9,0.282969,0.172733,0.001134,0.543164,0.333333,0.0,0.0,0.666667,ambiente,9
10,0.724376,3e-06,0.005438,0.270182,0.714286,0.0,0.0,0.285714,comida,7
11,0.507358,0.277772,0.148353,0.066517,0.333333,0.166667,0.5,0.0,precio,6
12,0.016863,0.022182,0.035771,0.925185,0.0,0.0,0.0,1.0,ambiente,8
13,0.286815,0.01708,0.555175,0.140931,0.25,0.0,0.75,0.0,precio,4
14,0.022367,0.074077,0.311335,0.592221,0.0,0.0,0.444444,0.555556,ambiente,9
15,0.857266,0.106173,0.001473,0.035089,1.0,0.0,0.0,0.0,comida,9
16,0.009241,0.053785,0.005632,0.931341,0.0,0.0,0.0,1.0,ambiente,9
17,7.4e-05,1e-06,0.991666,0.008259,0.0,0.0,1.0,0.0,precio,7
18,0.800609,5.9e-05,4e-06,0.199327,0.8,0.0,0.0,0.2,comida,5
19,0.146578,0.056188,0.795608,0.001626,0.0,0.0,1.0,0.0,precio,7
20,0.596782,0.044844,0.019639,0.338736,0.428571,0.142857,0.0,0.428571,comida,7
21,0.003508,0.097427,0.578876,0.320189,0.0,0.0,1.0,0.0,precio,6
22,0.411403,0.300524,0.286711,0.001362,0.555556,0.222222,0.222222,0.0,comida,9
23,0.027339,0.118029,0.714741,0.139891,0.0,0.0,0.666667,0.333333,precio,3
24,0.000659,0.005393,0.859889,0.134059,0.0,0.0,0.75,0.25,precio,8
25,0.15631,0.103452,0.489398,0.25084,0.166667,0.0,0.5,0.333333,precio,6
26,0.006391,0.151717,0.662024,0.179868,0.0,0.0,0.666667,0.333333,precio,6
27,0.003801,0.031678,0.86478,0.099742,0.0,0.333333,0.666667,0.0,precio,3
28,0.18437,0.001201,0.454614,0.359815,0.125,0.0,0.25,0.625,ambiente,8
29,0.000217,0.027151,0.150451,0.822181,0.0,0.0,0.166667,0.833333,ambiente,6
30,0.061599,0.081977,0.305475,0.55095,0.0,0.0,0.333333,0.666667,ambiente,3
31,0.971311,0.006324,0.00176,0.020605,0.888889,0.111111,0.0,0.0,comida,9
32,0.978034,0.000584,0.000388,0.020994,1.0,0.0,0.0,0.0,comida,9
33,0.980587,1e-06,0.00105,0.018363,1.0,0.0,0.0,0.0,comida,6
34,0.59167,0.054714,0.136674,0.216941,0.333333,0.0,0.666667,0.0,precio,3
35,0.105863,0.204412,0.089353,0.600372,0.125,0.125,0.125,0.625,ambiente,8
36,0.389835,0.487593,0.035963,0.086609,0.5,0.5,0.0,0.0,comida,6
37,0.03931,0.772728,0.187328,0.000634,0.0,1.0,0.0,0.0,servicio,8
38,0.773118,0.0,0.225188,0.001694,0.5,0.0,0.5,0.0,comida,4
39,0.15981,0.172459,0.635359,0.032372,0.25,0.375,0.375,0.0,servicio,8
40,0.938393,0.001265,0.060055,0.000287,0.875,0.0,0.125,0.0,comida,8
41,0.030586,0.786987,0.000145,0.182283,0.0,1.0,0.0,0.0,servicio,4
42,0.779672,0.038853,0.00024,0.181235,1.0,0.0,0.0,0.0,comida,4
43,0.113079,0.822532,0.055037,0.009351,0.5,0.25,0.25,0.0,comida,4
44,0.009132,0.513273,0.362134,0.11546,0.0,0.571429,0.428571,0.0,servicio,7
45,0.142531,0.000664,0.025249,0.831556,0.25,0.0,0.0,0.75,ambiente,4
46,0.017816,0.279866,0.144032,0.558286,0.0,0.166667,0.0,0.833333,ambiente,6
47,0.6033,0.034273,0.044491,0.317936,0.333333,0.166667,0.333333,0.166667,comida,6
48,0.230094,0.290003,0.479662,0.000241,0.0,0.5,0.5,0.0,servicio,4
49,0.286311,0.166581,0.326944,0.220164,0.333333,0.166667,0.0,0.5,ambiente,6
50,0.05252,0.706687,0.019087,0.221706,0.0,1.0,0.0,0.0,servicio,6
51,0.10148,2.1e-05,0.269227,0.629273,0.0,0.0,0.0,1.0,ambiente,4
