modelo,tipo_crimen,ranking,x_km,y_km,nro_area_comunitaria,community
normal_reference,robo,1,447.1701637134522,4637.574010342368,8,NEAR NORTH SIDE
normal_reference,robo,2,446.18177191190796,4640.408418980922,7,LINCOLN PARK
normal_reference,robo,3,447.4996276473003,4634.334686184021,33,NEAR SOUTH SIDE
normal_reference,robo,4,445.19338011036365,4643.242827619475,6,LAKE VIEW
normal_reference,robo,5,443.87552437497135,4638.383841381955,24,WEST TOWN
cv_ml,robo,1,447.82909158114836,4637.574010342368,8,NEAR NORTH SIDE
cv_ml,robo,2,445.85230797805986,4644.052658659061,6,LAKE VIEW
cv_ml,robo,3,446.8406997796041,4634.7396017038145,28,NEAR WEST SIDE
cv_ml,robo,4,446.8406997796041,4640.408418980922,7,LINCOLN PARK
cv_ml,robo,5,443.87552437497135,4639.598587941335,24,WEST TOWN
normal_reference,homicidio,1,439.5924932349462,4636.764179302781,26,WEST GARFIELD PARK
normal_reference,homicidio,2,440.58088503649043,4633.929770664228,29,NORTH LAWNDALE
normal_reference,homicidio,3,438.6041014334019,4639.598587941335,23,HUMBOLDT PARK
normal_reference,homicidio,4,447.4996276473003,4624.211798189186,69,GREATER GRAND CROSSING
normal_reference,homicidio,5,441.89874077188284,4638.7887569017485,24,WEST TOWN
cv_ml,homicidio,1,440.58088503649043,4637.169094822574,27,EAST GARFIELD PARK
cv_ml,homicidio,2,437.6157096318576,4637.978925862161,25,AUSTIN
cv_ml,homicidio,3,439.5924932349462,4634.334686184021,29,NORTH LAWNDALE
cv_ml,homicidio,4,447.82909158114836,4624.61671370898,69,GREATER GRAND CROSSING
cv_ml,homicidio,5,453.75944239041394,4621.782305070426,46,SOUTH CHICAGO
