nro_area_comunitaria,community,area_km2,homicidio,robo,total,robo_por_km2,homicidio_por_km2,total_por_km2
35,DOUGLAS,4.2706885212224135,0,186,186,43.55269626330899,0.0,43.55269626330899
36,OAKLAND,1.5701412414193145,1,47,48,29.933612824228977,0.6368853792389144,30.570498203467892
37,FULLER PARK,1.8489136263734351,2,48,50,25.96119110991136,1.0817162962463067,27.042907406157667
38,GRAND BOULEVARD,4.501641174229778,2,223,225,49.537488966600016,0.4442824122565024,49.98177137885652
39,KENWOOD,2.698752519346235,0,116,116,42.98282231084333,0.0,42.98282231084333
4,LINCOLN SQUARE,6.6239661035412585,0,169,169,25.513415581889888,0.0,25.513415581889888
40,WASHINGTON PARK,3.9336392311045505,5,87,92,22.116924020907412,1.271087587408472,23.388011608315885
41,HYDE PARK,4.187160273554524,0,194,194,46.332117073539045,0.0,46.332117073539045
42,WOODLAWN,5.367025069098607,2,165,167,30.743288483970467,0.37264592101782384,31.11593440498829
1,ROGERS PARK,4.758656228014726,2,375,377,78.80375930337944,0.42028671628469033,79.22404601966413
11,JEFFERSON PARK,6.022237970749876,0,88,88,14.612507912742352,0.0,14.612507912742352
12,FOREST GLEN,8.27469633623816,0,23,23,2.779558193486077,0.0,2.779558193486077
13,NORTH PARK,6.525331184540829,0,66,66,10.114429158225821,0.0,10.114429158225821
14,ALBANY PARK,4.97064880063262,0,151,151,30.378328072742143,0.0,30.378328072742143
15,PORTAGE PARK,10.230362674821851,0,131,131,12.805020131144197,0.0,12.805020131144197
16,IRVING PARK,8.319173245335298,1,196,197,23.56003345763962,0.12020425233489603,23.680237709974516
17,DUNNING,9.61771643610721,0,59,59,6.1345123233723,0.0,6.1345123233723
18,MONTCLARE,2.560171673085728,0,33,33,12.889760615242533,0.0,12.889760615242533
19,BELMONT CRAGIN,10.128559056784054,2,208,210,20.53599123368716,0.19746145417006883,20.733452687857227
2,WEST RIDGE,9.137658140841483,0,280,280,30.642424534194156,0.0,30.642424534194156
20,HERMOSA,3.026664271465895,0,55,55,18.17182054795989,0.0,18.17182054795989
