nro_area_comunitaria,community,area_km2,homicidio,robo,total,robo_por_km2,homicidio_por_km2,total_por_km2,residuo_homicidios,amenity,landuse,shop,actividad_comercial_osm,actividad_comercial_por_km2
35,DOUGLAS,4.2706885212224135,0,186,186,43.55269626330899,0.0,43.55269626330899,-1.7912543876899478,28,34,21,83,19.43480532179917
36,OAKLAND,1.5701412414193145,1,47,48,29.933612824228977,0.6368853792389144,30.570498203467892,-0.5339534768229908,1,1,1,3,1.9106561377167433
37,FULLER PARK,1.8489136263734351,2,48,50,25.96119110991136,1.0817162962463067,27.042907406157667,0.46419543748731895,7,17,13,37,20.011751480556676
38,GRAND BOULEVARD,4.501641174229778,2,223,225,49.537488966600016,0.4442824122565024,49.98177137885652,0.14025544179150962,29,82,33,144,31.988333682468173
39,KENWOOD,2.698752519346235,0,116,116,42.98282231084333,0.0,42.98282231084333,-1.661678389411624,21,15,22,58,21.491411155421666
4,LINCOLN SQUARE,6.6239661035412585,0,169,169,25.513415581889888,0.0,25.513415581889888,-1.7597859309652122,113,47,84,244,36.83593728982919
40,WASHINGTON PARK,3.9336392311045505,5,87,92,22.116924020907412,1.271087587408472,23.388011608315885,3.392003095589396,12,40,9,61,15.507268566383358
41,HYDE PARK,4.187160273554524,0,194,194,46.332117073539045,0.0,46.332117073539045,-1.8060630732074707,112,20,85,217,51.82510002555656
42,WOODLAWN,5.367025069098607,2,165,167,30.743288483970467,0.37264592101782384,31.11593440498829,0.24761841179354915,19,72,26,117,21.799786379542695
1,ROGERS PARK,4.758656228014726,2,375,377,78.80375930337944,0.42028671628469033,79.22404601966413,-0.14110958304142196,93,44,104,241,50.64454931230519
11,JEFFERSON PARK,6.022237970749876,0,88,88,14.612507912742352,0.0,14.612507912742352,-1.6098479901002947,43,37,60,140,23.247171679362832
12,FOREST GLEN,8.27469633623816,0,23,23,2.779558193486077,0.0,2.779558193486077,-1.4895274202704225,25,23,53,101,12.205885980091034
13,NORTH PARK,6.525331184540829,0,66,66,10.114429158225821,0.0,10.114429158225821,-1.5691241049271072,41,19,40,100,15.324892663978517
14,ALBANY PARK,4.97064880063262,0,151,151,30.378328072742143,0.0,30.378328072742143,-1.726466388550786,77,36,69,182,36.61493847178192
15,PORTAGE PARK,10.230362674821851,0,131,131,12.805020131144197,0.0,12.805020131144197,-1.6894446747569791,88,48,139,275,26.880767450875222
16,IRVING PARK,8.319173245335298,1,196,197,23.56003345763962,0.12020425233489603,23.680237709974516,-0.8097652445868513,100,42,90,232,27.887386541695875
17,DUNNING,9.61771643610721,0,59,59,6.1345123233723,0.0,6.1345123233723,-1.5561665050992748,53,19,47,119,12.372999431886504
18,MONTCLARE,2.560171673085728,0,33,33,12.889760615242533,0.0,12.889760615242533,-1.508038277167326,10,4,26,40,15.62395226090004
19,BELMONT CRAGIN,10.128559056784054,2,208,210,20.53599123368716,0.19746145417006883,20.733452687857227,0.1680217271368647,64,24,119,207,20.437260506602122
2,WEST RIDGE,9.137658140841483,0,280,280,30.642424534194156,0.0,30.642424534194156,-1.9652564425208396,101,51,136,288,31.517922378028274
20,HERMOSA,3.026664271465895,0,55,55,18.17182054795989,0.0,18.17182054795989,-1.5487621623405134,15,4,37,56,18.502217285195524
21,AVONDALE,5.132936209682001,0,180,180,35.067647959558705,0.0,35.067647959558705,-1.780147873551806,102,40,111,253,49.28952740982418
22,LOGAN SQUARE,9.288854881953746,0,520,520,55.98106619258834,0.0,55.98106619258834,-2.4095170080465214,296,77,306,679,73.09835373993747
23,HUMBOLDT PARK,9.328244684562623,12,319,331,34.19721617379048,1.2864156554403943,35.48363182923087,9.962551215581236,42,17,81,140,15.008182646804599
24,WEST TOWN,11.842194028136166,1,798,799,67.38616155959038,0.08444381147818342,67.47060537106856,-1.9241188297804355,438,181,464,1083,91.45264783087265
25,AUSTIN,18.498319925243184,15,671,686,36.27356444864702,0.810884451162005,37.084448899809026,12.310969052810236,49,58,91,198,10.703674755338465
26,WEST GARFIELD PARK,3.3507306067590403,5,142,147,42.37881723871202,1.492211874602536,43.871029113314556,3.290193382656427,7,7,21,35,10.445483122217752
27,EAST GARFIELD PARK,5.002269903132481,6,235,241,46.97867259278437,1.199455470454069,48.17812806323844,4.118042413515226,9,46,19,74,14.793284135600185
28,NEAR WEST SIDE,14.713428325045632,2,912,914,61.98419429192901,0.13593025064019518,62.1201245425692,-1.1351425984051344,509,342,312,1163,79.04344074727351
29,NORTH LAWNDALE,8.307642494482451,12,277,289,33.34279251712751,1.4444531054351268,34.78724562256264,10.040296814548231,22,28,24,74,8.907460816849948
3,UPTOWN,6.043042934366457,0,266,266,44.017559181529634,0.0,44.017559181529634,-1.939341242865175,144,62,152,358,59.24167739469026
30,SOUTH LAWNDALE,11.882815954581769,4,206,210,17.33595814219193,0.33662054645032874,17.67257868864226,2.1717238985162455,48,64,65,177,14.895459180427046
31,LOWER WEST SIDE,7.57066220622395,1,147,148,19.41705969646211,0.13208884147253136,19.549148537934645,-0.7190620457920247,111,217,98,426,56.269846467298365
33,NEAR SOUTH SIDE,4.620205212061157,0,145,145,31.383887369650594,0.0,31.383887369650594,-1.715359874412644,73,56,37,166,35.9291400231862
34,ARMOUR SQUARE,2.5776018418320135,1,88,89,34.1402611419049,0.3879575129761921,34.528218654881094,-0.6098479901002947,95,34,53,182,70.60826736166696
10,NORWOOD PARK,11.322618219300441,0,98,98,8.655241932731602,0.0,8.655241932731602,-1.6283588469971981,53,36,48,137,12.099674946777851
8,NEAR NORTH SIDE,7.118003341570241,0,1559,1559,219.0220944257217,0.0,219.0220944257217,-4.332795039634784,624,244,450,1318,185.1642850885832
32,LOOP,4.301423448060419,0,1589,1589,369.4125954319856,0.0,369.4125954319856,-4.3883276103254945,501,135,247,883,205.28088216893852
43,SOUTH SHORE,7.594657399806032,6,397,403,52.27358906408858,0.7900290538653186,53.0636181179539,3.8181665317853906,47,84,83,214,28.177702921196364
44,CHATHAM,7.641960258714635,4,420,424,54.95972051425498,0.5234259096595713,55.48314642391455,1.7755915609225128,39,9,69,117,15.310207857542458
45,AVALON PARK,3.235392223975514,0,63,63,19.472136804046666,0.0,19.472136804046666,-1.5635708478580361,11,10,15,36,11.126935316598095
46,SOUTH CHICAGO,8.658353316413255,6,153,159,17.670796560122433,0.6929724141224484,18.36376897424488,4.269831440069833,28,126,47,201,23.21457587310202
47,BURNSIDE,1.5777504900125456,0,12,12,7.605765345003683,0.0,7.605765345003683,-1.4691654776838288,0,0,3,3,1.9014413362509208
59,MCKINLEY PARK,3.660611318583198,1,75,76,20.488381167172914,0.27317841556230554,20.76155958273522,-0.5857838761343201,28,70,34,132,36.05955085422433
6,LAKE VIEW,8.09643749965812,1,762,763,94.11546745493635,0.12351111214558577,94.23897856708194,-1.8574797449515836,427,119,253,799,98.68537860432303
48,CALUMET HEIGHTS,4.532529506122039,1,68,69,15.002660194082164,0.22062735579532594,15.22328754987749,-0.5728262763064877,15,6,17,38,8.383839520222386
49,ROSELAND,12.468599090501096,7,270,277,21.65439742189586,0.5614103035306334,22.215807725426494,5.053254414376063,20,14,32,66,5.293297147574544
5,NORTH CENTER,5.296593106232815,0,99,99,18.691260214703075,0.0,18.691260214703075,-1.6302099326868884,138,27,133,298,56.26258125233855
50,PULLMAN,5.477165108303161,2,60,62,10.954572084935402,0.36515240283118006,11.319724487766582,0.44198240921103493,13,13,13,39,7.120471855208011
51,SOUTH DEERING,28.201380171730314,0,128,128,4.53878495380556,0.0,4.53878495380556,-1.6838914176879083,23,9,26,58,2.056636932193144
52,EAST SIDE,7.727178703392501,2,37,39,4.788293557098105,0.2588266787620597,5.047120235860165,0.4845573800739127,28,36,48,112,14.494294010675345
53,WEST PULLMAN,9.22431372146981,2,142,144,15.394099147938952,0.2168182978582951,15.610917445797249,0.2901933826564269,8,8,17,33,3.577501914661869
54,RIVERDALE,9.13360026352826,0,47,47,5.145835009626769,0.0,5.145835009626769,-1.5339534768229908,0,4,8,12,1.313830215223856
55,HEGEWISCH,13.549805897309879,0,28,28,2.0664502659450643,0.0,2.0664502659450643,-1.4987828487188743,21,5,17,43,3.1734771941299202
56,GARFIELD RIDGE,10.944726480271338,0,164,164,14.98438542942319,0.0,14.98438542942319,-1.7505305025167603,75,74,76,225,20.557845863537914
57,ARCHER HEIGHTS,5.191636034741347,0,64,64,12.327520568030065,0.0,12.327520568030065,-1.5654219335477264,23,71,34,128,24.65504113606013
58,BRIGHTON PARK,7.045514692655338,0,109,109,15.470835667070293,0.0,15.470835667070293,-1.6487207895837916,31,155,46,232,32.92875114458998
60,BRIDGEPORT,5.411376262889763,0,90,90,16.63162855948563,0.0,16.63162855948563,-1.6135501614796752,66,111,54,231,42.68784663601311
61,NEW CITY,12.498811102789535,3,206,209,16.48156759117866,0.24002282899774746,16.72159042017641,1.1717238985162453,35,156,57,248,19.841887197147123
62,WEST ELSDON,3.036772327831221,0,66,66,21.733601625359707,0.0,21.733601625359707,-1.5691241049271072,19,37,24,80,26.343759545890553
63,GAGE PARK,5.689383197589045,0,102,102,17.928129721201397,0.0,17.928129721201397,-1.6357631897559595,20,99,52,171,30.055982179661168
64,CLEARING,6.604979639871123,0,29,29,4.390626706090172,0.0,4.390626706090172,-1.5006339344085646,30,40,22,92,13.92888472276882
65,WEST LAWN,7.641846624105384,1,124,125,16.226444483831344,0.13085842325670438,16.357302907088048,-0.6764870749291467,24,67,38,129,16.88073660011487
66,CHICAGO LAWN,9.123770849222414,6,270,276,29.593027319730542,0.6576228293273454,30.250650149057886,4.053254414376063,22,151,52,225,24.66085609977545
67,WEST ENGLEWOOD,8.164513351020886,5,289,294,35.397088298454875,0.612406371945586,36.00949467040046,3.018083786271947,7,2,29,38,4.6542884267864535
68,ENGLEWOOD,7.951338819003447,4,218,222,27.41676652980589,0.5030599363267135,27.919826466132605,2.1495108702399612,14,8,28,50,6.28824920408392
69,GREATER GRAND CROSSING,9.176699438654653,9,289,298,31.492804349966676,0.9807447721442909,32.47354912211097,7.018083786271947,23,12,40,75,8.172873101202423
7,LINCOLN PARK,8.198678660118679,3,522,525,63.66879611213398,0.36591262133410335,64.03470873346808,0.5867808205740981,322,87,267,676,82.45231067395129
70,ASHBURN,12.575528458546668,0,113,113,8.98570587888115,0.0,8.98570587888115,-1.6561251323425532,25,91,34,150,11.927928157806837
71,AUBURN GRESHAM,9.75356439047038,4,331,335,33.93631156250941,0.4101064841390865,34.346418046648495,1.940338187304953,18,4,37,59,6.049070641051526
72,BEVERLY,8.241752419198468,0,85,85,10.313340619405123,0.0,10.313340619405123,-1.6042947330312236,30,44,18,92,11.162674552767898
73,WASHINGTON HEIGHTS,7.392825464327596,1,164,165,22.183669936662895,0.13526628010160302,22.3189362167645,-0.7505305025167603,11,25,16,52,7.033846565283357
74,MOUNT GREENWOOD,7.0169211373000655,0,21,21,2.9927655718360078,0.0,2.9927655718360078,-1.485825248891042,16,21,17,54,7.695682899006877
75,MORGAN PARK,8.529326802468761,0,124,124,14.538075849562825,0.0,14.538075849562825,-1.6764870749291467,25,29,31,85,9.965616509780968
76,OHARE,34.522423583801,0,163,163,4.7215688552203705,0.0,4.7215688552203705,-1.74867941682707,115,20,146,281,8.139637106238798
77,EDGEWATER,4.497787526752009,0,228,228,50.69158973026141,0.0,50.69158973026141,-1.8689999866569422,146,45,138,329,73.1470746546316
9,EDISON PARK,2.937112005044837,0,19,19,6.468939545841375,0.0,6.468939545841375,-1.4821230775116612,12,10,9,31,10.554585574793824
