nro_area_comunitaria,community,robo,homicidio,total,area_km2,total_por_km2
32,LOOP,1589,0,1589,4.301423448060419,369.4125954319856
8,NEAR NORTH SIDE,1559,0,1559,7.118003341570241,219.0220944257217
28,NEAR WEST SIDE,912,2,914,14.713428325045632,62.1201245425692
24,WEST TOWN,798,1,799,11.842194028136166,67.47060537106856
6,LAKE VIEW,762,1,763,8.09643749965812,94.23897856708194
25,AUSTIN,671,15,686,18.498319925243184,37.084448899809026
7,LINCOLN PARK,522,3,525,8.198678660118679,64.03470873346808
22,LOGAN SQUARE,520,0,520,9.288854881953746,55.98106619258834
44,CHATHAM,420,4,424,7.641960258714635,55.48314642391455
43,SOUTH SHORE,397,6,403,7.594657399806032,53.0636181179539
