criterio_1,criterio_2,correlación,abs_correlación
Cuidado de la salud y el medio ambiente,Artes,0.8657960419746763,0.8657960419746763
Cuidado de la salud y el medio ambiente,Educación,0.4902340292234827,0.4902340292234827
Cuidado de la salud y el medio ambiente,Transporte,0.47031706678482266,0.47031706678482266
Transporte,Artes,0.4648055657247592,0.4648055657247592
Alojamiento,Cuidado de la salud y el medio ambiente,0.45300967804151593,0.45300967804151593
Alojamiento,Artes,0.4485677653415431,0.4485677653415431
Alojamiento,Recreación,0.4222883774416564,0.4222883774416564
Crimen,Artes,0.3894826078025008,0.3894826078025008
Clima y Terreno,Alojamiento,0.38629069736726834,0.38629069736726834
Artes,Recreación,0.37865944821990655,0.37865944821990655
Educación,Artes,0.37327898449608843,0.37327898449608843
Transporte,Recreación,0.36471624448334017,0.36471624448334017
Crimen,Recreación,0.34462654443800617,0.34462654443800617
Transporte,Educación,0.3359924958870431,0.3359924958870431
Cuidado de la salud y el medio ambiente,Recreación,0.3253969531875088,0.3253969531875088
Cuidado de la salud y el medio ambiente,Crimen,0.30465942510124333,0.30465942510124333
Crimen,Transporte,0.28657843003642786,0.28657843003642786
Alojamiento,Transporte,0.27192150182043484,0.27192150182043484
Alojamiento,Economía,0.2694327722965086,0.2694327722965086
Crimen,Economía,0.2599947100309133,0.2599947100309133
Clima y Terreno,Artes,0.2269741992396518,0.2269741992396518
Clima y Terreno,Recreación,0.21350902774946745,0.21350902774946745
Clima y Terreno,Cuidado de la salud y el medio ambiente,0.2133025390122084,0.2133025390122084
Alojamiento,Educación,0.19793385848747086,0.19793385848747086
Clima y Terreno,Crimen,0.1923873075842424,0.1923873075842424
Recreación,Economía,0.17353050557849958,0.17353050557849958
Alojamiento,Crimen,0.13422166233390648,0.13422166233390648
Educación,Economía,0.11970035050896037,0.11970035050896037
Clima y Terreno,Economía,-0.10008274073988875,0.10008274073988875
Clima y Terreno,Transporte,0.07911993262106143,0.07911993262106143
Educación,Recreación,0.07780718282096287,0.07780718282096287
Artes,Economía,0.07567330128322199,0.07567330128322199
Crimen,Educación,0.07441626593581177,0.07441626593581177
Cuidado de la salud y el medio ambiente,Economía,0.0692707368119971,0.0692707368119971
Clima y Terreno,Educación,0.064519762314526,0.064519762314526
Transporte,Economía,0.05924675349939942,0.05924675349939942
