Ciudad,Clima y Terreno,Alojamiento,Cuidado de la salud y el medio ambiente,Crimen,Transporte,Educación,Artes,Recreación,Economía,Indice_atractivo_z,Ranking
"New-York,NY",638,13358,7850,2498,8625,2984,56745,3579,5338,6.35546942833083,1
"Chicago,IL",514,10913,5766,1034,7742,3486,24846,2856,5205,4.083256423937663,2
"Washington,DC-MD-VA",631,13724,4361,1317,8236,3635,21701,1578,6072,3.759234914880485,3
"Boston,MA",623,11609,5301,1215,6801,3479,21042,3066,6363,3.6739545223770698,4
"San-Francisco,CA",910,17158,3726,1619,8299,3371,14226,4600,6063,3.541263269478223,5
"Los-Angeles,Long-Beach,CA",885,13868,5153,1960,4345,3195,23567,3948,5316,3.2841715191209273,6
"Philadelphia,PA-NJ",630,8310,5158,1059,5903,3781,17270,1979,5638,3.119925944507551,7
"Baltimore,MD",567,9148,3562,1730,7405,3471,9788,2925,5503,2.330219342581957,8
"Newark,NJ",601,14220,4106,1461,3514,3362,14224,1818,5690,2.295247167045644,9
"Pittsburgh,PA",586,8099,3413,687,5616,3544,11069,2145,5261,2.017631246265346,10
"Cleveland,OH",579,9168,3167,1138,7333,2972,12679,3300,4879,1.9884018107575843,11
"Bergen-Passaic,NJ",559,14607,2661,857,3511,3653,9304,1918,6016,1.960108870078974,12
"Stamford,CT",648,23640,2610,835,3110,3029,7865,1729,6158,1.935163199667494,13
"Denver,CO",521,10789,2533,1365,8145,3145,8477,2324,7164,1.9307506043733649,14
"St.-Louis,MO-IL",537,7605,2850,1306,7119,3530,8896,2243,5800,1.9104987755268603,15
"Hartford,CT",516,11652,2521,1279,7120,3628,3616,1790,6307,1.8930261471423933,16
"Minneapolis-St.-Paul,MN-WI",293,9559,3934,906,5606,3013,11714,2158,5843,1.8855034649114695,17
"Dallas,TX",544,9318,2825,1529,6213,3269,10438,2310,7710,1.8101177726649116,18
"Norwalk,CT",648,20151,2530,625,3536,3029,7273,2268,6432,1.7664823860321364,19
"Raleigh-Durham,NC",647,8230,3476,981,6544,3455,5730,1606,6405,1.7617474021038948,20
"Nassua-Suffolk,NY",656,11138,3919,566,2119,3234,8640,3705,7371,1.7164446735104133,21
"Atlanta,GA",696,8316,3195,1308,8409,3057,7559,1362,6315,1.6675611459621837,22
"Middlesex-Somerset,Hunterdon,NJ",559,12135,2589,691,4198,3539,8058,1596,6324,1.6632669807650233,23
"New-Haven-Meriden,CT",583,11460,2068,893,5938,3495,7852,1604,5478,1.636001921678928,24
"Seattle,WA",808,10183,2715,1170,6634,2710,9577,4800,5901,1.6219408385219443,25
"Detroit,MI",536,8525,4142,1587,4808,3064,10389,2483,3904,1.591119868456046,26
"Providence,RI",586,9274,2467,998,5474,3558,6152,2263,5154,1.5297259432900798,27
"San-Diego,CA",903,14465,2416,1099,5489,2794,8818,3347,5489,1.510576820120027,28
"Milwaukee,WI",460,10176,3053,826,4945,3044,8766,2902,4982,1.479905599846348,29
"Houston,TX",424,9760,2467,1499,4626,3271,11073,1825,7464,1.4596429447815198,30
"Rochester,NY",536,8609,1969,894,5165,3582,6956,2659,6304,1.4558651810393868,31
"Burlington,VT",383,9673,1809,494,7146,3323,1741,3357,6726,1.4476976331566205,32
"Ann-Arbor,MI",546,11014,2508,1067,3433,3346,7559,2288,4579,1.2166212308683222,33
"Bridgeport-Milford,CT",648,13429,2550,943,3197,3029,8368,1913,7197,1.1976726341556208,34
"San-Jose,CA",850,16048,2117,1065,5224,2709,6446,1964,7270,1.1921439218493364,35
"Buffalo,NY",571,8064,2465,971,5384,3121,8567,2441,5047,1.1838235896252656,36
"Honolulu,HI",717,17021,1298,891,5911,2502,7168,3703,5187,1.1686148922632194,37
"Anaheim-Santa-Ana,CA",885,16047,2025,983,3954,2843,5632,3156,6220,1.1504722798367955,38
"New-Orleans,LA",498,8515,2586,1604,4579,2995,7978,3500,6453,1.1296533128198114,39
"Albany-Schenectady-Troy,NY",476,7908,1431,610,6883,3399,4655,1617,5864,1.1011920960336739,40
"Portland,OR",768,9912,1590,1504,5947,3343,5160,2532,4535,1.0992828412831313,41
"Oakland,CA",910,13135,2362,1533,6430,2646,6162,2394,5457,1.096719671641248,42
"Madison,WI",378,9897,2168,779,6084,3047,5123,1944,5448,1.0829807153901154,43
"Danbury,CT",569,14420,2350,548,2715,3029,7415,1572,7060,1.0755027869078932,44
"Richmond-Petersburg,VA",585,8343,2448,1076,6680,2940,5697,1943,5870,1.0453829178252227,45
"Cincinnati,OH-KY-IN",584,8143,2138,978,5748,2918,9688,2451,5270,1.0412374849557526,46
"Miami-Hialeah,FL",634,10267,2314,2459,5202,2879,4837,4300,5840,1.0076086352009324,47
"Charlottesville,VA",618,9531,1348,756,6041,3489,1422,1704,6055,0.9601960730421828,48
"Albuquerque,NM",659,8393,1853,1483,6558,3026,4496,2612,5727,0.9039965286463404,49
"Harrisburg-Lebanon-Carlisle,PA",556,7891,2087,629,6164,3224,3083,1532,5322,0.8892586973813678,50
"Monmouth-Ocean,NJ",615,11660,2482,819,2690,2787,7563,3544,6154,0.8773359470527972,51
"Omaha,NE-IA",440,7128,2559,1008,5806,3069,3787,1977,5853,0.8716133370412729,52
"Syracuse,NY",548,7670,1040,689,6951,3144,5080,2851,4474,0.8654687423754891,53
"Boulder-Longmont,CO",459,11914,962,1088,7108,2587,3663,4012,7127,0.8624395383694206,54
"Trenton,NJ",636,10616,1372,1181,4786,3311,5029,1646,5772,0.8377274656839829,55
"Springfield,MA",453,8039,710,1212,6159,3525,3466,1514,5289,0.7434196426291038,56
"West-Palm-Beach-Boca-Raton-Delray-Beach,FL",509,10512,375,1783,5201,3224,2888,3772,7992,0.7341828405694879,57
"Santa-Barbara-Santa-Maria-Lompoc,CA",855,15547,532,1026,5662,2719,2684,3300,5821,0.6711217280521657,58
"Tampa-St.-Petersburg-Clearwater,FL",440,7442,1189,1493,5588,3044,5040,2943,7256,0.6453030524876886,59
"Louisville,KY-IN",616,6812,2111,937,5420,3028,4916,1942,5402,0.6414514518748701,60
"Norfolk-Virginia-Beach-Newport-News,VA",632,8568,1932,997,3215,3014,7087,2964,5866,0.6250321439395119,61
"Champaign-Urbana-Rantoul,IL",525,8627,672,1022,7447,3147,2203,1700,5485,0.6185552516268883,62
"Kansas-City,MO",549,7076,1939,1468,5869,2949,5553,2043,4865,0.6061718545675175,63
"Springfield,IL",524,7882,1877,1225,6172,3078,1983,1536,5384,0.5927677801486597,64
"Phoenix,AZ",536,8921,1584,1268,4729,2942,4573,2472,6415,0.5360730875313964,65
"Indianapolis,IN",557,7012,2243,1000,5804,2690,6348,1906,5082,0.5202528218467268,66
"Memphis,TN-AR-MS",514,7015,2043,1488,6247,2804,4486,1994,5160,0.5108597144714662,67
"Salt-Lake-City-Ogden,UT",541,9466,1631,969,6228,2340,5528,3900,4942,0.5047213791858758,68
"Columbus,OH",558,8093,1837,1092,4364,2928,6648,2020,5165,0.49275971947465386,69
"Wilmington,DE-NJ-MD",597,7927,1445,1115,4532,3112,4545,1923,6174,0.45820101168820077,70
"New-Britain,CT",516,10509,1245,903,4900,3128,1360,1217,6470,0.44548181390601643,71
"Jackson,MS",412,7245,1792,1091,4917,3130,3209,1427,5186,0.4280983353379819,72
"Middletown,CT",593,11652,884,646,4636,3128,730,1682,6307,0.41854515200329284,73
"Orlando,FL",457,8196,765,1671,5887,2976,2681,2881,7413,0.41657372312366286,74
"New-London-Norwich,CT-RI",583,10218,556,633,4505,3244,1164,2281,6672,0.4086217260883973,75
"Eugene-Springfield,OR",741,9370,539,874,5293,3118,2631,3400,3045,0.4017298284440473,76
"Jacksonville,FL",457,6626,1181,1211,5611,3048,2162,2884,6139,0.3921648845796741,77
"Dayton-Springfield,OH",544,7635,2253,1151,4775,2772,6935,1122,4532,0.37648637023366893,78
"Toledo,OH",518,7767,1738,998,5323,2852,4389,1952,4534,0.3763814163975865,79
"Portland,ME",483,8100,834,823,5185,2973,2351,3366,6186,0.37472465920941395,80
"Worcester,MA",562,8715,1805,680,3643,3299,1784,910,5040,0.3569375902901065,81
"Santa-Cruz,CA",843,14303,1035,964,5010,2611,3748,1703,5335,0.3545248495154882,82
"Greensboro-Winston-Salem-High-Point,NC",626,7064,1694,967,4453,3090,4188,1651,5204,0.3451959216173333,83
"Charleston,SC",569,7402,1463,1495,4207,3164,2993,2561,5153,0.3439674598870783,84
"Reno,NV",535,12449,615,1116,6767,2529,2210,2386,5677,0.3315079268454789,85
"Lansing-East-Lansing,MI",480,7907,1371,894,5557,2891,4206,1609,4747,0.31717137508302207,86
"Nashville,TN",600,7800,1850,984,5030,2763,4342,1849,5938,0.31593509866510655,87
"Oklahoma-City,OK",554,7186,1623,1297,4459,2908,4843,1742,8119,0.3159239394947785,88
"La-Crosse,WI",352,8310,686,676,6096,3027,1466,1953,5648,0.3137773655082236,89
"Charlotte-Gastonia-Rock-Hill,NC-SC",644,7169,999,1273,6099,3031,4313,1236,5671,0.30682179687432687,90
"Orange-County,NY",509,10173,1574,804,3299,2754,6987,1866,5822,0.30445319864109166,91
"San-Antonio,TX",398,6898,1337,1197,5387,2938,4295,1509,6873,0.30046941514082187,92
"Sacramento,CA",576,9855,1027,1363,5097,2793,4483,2306,5309,0.2893176280884495,93
"Kansas-City,KS",549,8126,1711,1142,5006,3028,1167,1045,6166,0.2521744397655907,94
"Lincoln,NE",398,8256,775,789,5618,2878,4523,1804,4908,0.2333795282282902,95
"Lake-County,IL",514,13282,1237,822,3422,2607,3746,2435,5755,0.2294169072151287,96
"Billings,MT",452,8315,479,810,6285,3008,778,2046,5913,0.22886778179908662,97
"Columbia,SC",526,7519,1421,1524,5859,2908,2489,1484,5279,0.21762098070614747,98
"Tuscon,AZ",589,8548,1259,1400,4397,2685,4889,3131,6147,0.20221780417692084,99
"Kenosha,WI",496,8516,1067,911,4473,2918,3844,2224,5176,0.1973887912591425,100
"Lexington-Fayette,KY",635,8340,1860,1055,4080,2861,3596,1403,6245,0.19722544523562793,101
"Salem-Glouster,MA",644,11622,1232,490,3459,2729,3276,2234,6309,0.19222706989386942,102
"Pawtucket-Woonsocket-Attleboro,RI-MA",586,9462,1117,744,4738,3058,480,1513,5154,0.17722392225194267,103
"Jersey-City,NJ",601,8810,1759,1434,4982,2574,7420,1001,4889,0.1763126812163793,104
"Fort-Lauderdale-Hollywood-Pompano-Beach,FL",572,10810,1252,1536,4186,2734,2027,2455,7136,0.17085531471999318,105
"Iowa-City,IA",434,9429,2437,830,2770,2842,2255,1506,5165,0.16050469680527046,106
"Santa-Rosa-Petaluma,CA",732,12931,1052,912,3313,2722,3457,2255,5703,0.15925401556590074,107
"Austin,TX",435,8831,782,1049,3670,3063,5355,1063,7439,0.15391647197747121,108
"Salem,OR",716,8378,749,1014,4732,3278,691,1873,3835,0.14928671739336494,109
"Binghampton,NY",550,8257,1007,415,4529,3052,1599,1722,5614,0.14737271407986002,110
"Bloomington-Normal,IL",487,8654,815,673,5889,2854,1470,1605,5863,0.13923559520638124,111
"Birmingham,AL",612,6811,1692,1123,5177,2851,3958,1234,4843,0.13470272022688273,112
"Kalamazoo,MI",527,7919,1043,1120,5419,2896,2071,2163,4794,0.13398575053443204,113
"Bangor,ME",451,7277,780,651,5613,2934,1995,2148,5172,0.12470300523897375,114
"Anchorage,AK",195,12175,601,1223,5091,2414,2346,3000,7668,0.12316347023978069,115
"Gainesville,FL",402,7388,1731,1658,3527,3094,3335,1237,5739,0.121583665561784,116
"Joliet,IL",479,9327,1058,837,4645,2868,3177,1636,4631,0.11436868025997206,117
"Riverside-San-Bernardino,CA",615,9754,2201,1475,3141,2596,5327,1918,4923,0.10214926734475183,118
"Fort-Myers,FL",342,9298,546,787,4583,2729,380,4005,7166,0.09749188590506579,119
"Akron,OH",575,8138,1656,886,4883,2438,5564,2632,4350,0.08937367500172122,120
"Forth-Arlington,TX",528,7956,1038,1348,4472,2627,6466,2366,6862,0.07619119583528569,121
"Greenville-Spartanburg,SC",655,6336,1260,1185,3950,3236,2569,1410,5012,0.0559574438172694,122
"Scranton-Wilkes-Barre,PA",575,6697,1219,372,3683,3230,1832,1386,4907,0.04911346701123095,123
"Atlantic-City,NJ",615,11074,637,1878,3556,2929,621,2711,8107,0.042224333979025995,124
"Asheville,NC",694,6722,1204,566,5086,2990,1391,1542,5196,0.03863848285601155,125
"Grand-Forks,ND",105,7898,1109,401,5587,2721,1921,1304,5646,0.03735016838238177,126
"Lancaster,PA",559,8631,1111,413,3908,3097,1015,1147,5120,0.018674424542562074,127
"Gary-Hammond,IN",483,7641,1364,996,5855,2526,4115,1940,3826,0.008202728800814376,128
"Lafayette,IN",494,7778,655,465,4956,2945,2235,1814,4333,-0.022584192549365296,129
"Pittsfield,MA",482,7807,694,638,3759,3264,228,1420,5483,-0.04959038647137233,130
"Shreveport,LA",508,6534,1445,1197,4401,2858,2826,1389,6585,-0.05083588685132109,131
"Galveston-Texas-City,TX",727,7767,1437,1213,3423,2809,1756,3000,6026,-0.0529603640380886,132
"Tulsa,OK",530,7498,1581,1080,3758,2628,4248,2024,7115,-0.053182214411592266,133
"Des-Moines,IA",444,8028,1256,1044,5521,2613,1857,1802,5346,-0.05433683123723207,134
"Sioux-Falls,SD",276,7983,1041,556,6271,2651,465,1324,5204,-0.05481114980183358,135
"Fargo-Moorhead,ND-MN",148,8168,920,503,6325,2506,2111,1414,5594,-0.05960634934944436,136
"South-Bend-Mishawaka,IN",545,5938,830,1038,5634,2874,2672,1819,5056,-0.06922974577162463,137
"Duluth,MN-WI",193,6040,1159,488,5205,2619,2377,3107,3922,-0.0720875343933409,138
"Fort-Wayne,IN",509,6733,1060,710,5416,2772,2846,1711,4195,-0.07230763059692531,139
"Charleston,WV",627,7789,708,721,5470,2894,2605,844,5257,-0.07321380357984413,140
"Rochester,MN",308,9193,2966,437,4399,2134,769,1503,6099,-0.07354030318871511,141
"Tallahassee,FL",404,8029,370,1161,5530,2790,2181,1936,6021,-0.09983234015802621,142
"Alton,Granite-City,IL",537,6487,965,706,4975,2945,1487,1280,5795,-0.10972118548717394,143
"Tacoma,WA",808,7770,539,1162,4730,2546,4297,4000,4887,-0.11743285652937062,144
"Topeka,KS",501,7110,1148,999,5348,2795,1632,1141,5464,-0.12218935467768326,145
"Poughkeepsie,NY",488,9981,355,633,4166,2898,785,1670,6746,-0.12476460722602131,146
"Davenport-Rock-Island-Moline,IA-IL",440,8083,1113,834,3907,2901,1017,1920,4997,-0.1251223560868273,147
"Knoxville,TN",670,6692,960,622,4273,2761,3309,2514,5537,-0.1273514723284432,148
"Nashua,NH",538,10757,853,452,3320,2728,2122,1523,6962,-0.13164908810166592,149
"Salinas-Seaside-Monterey,CA",843,13838,352,1107,4160,2439,1004,3179,5656,-0.13801065811459567,150
"Chico,CA",603,8587,243,947,4067,3126,1647,1543,5307,-0.14354532096585562,151
"Cumberland,MD-WV",591,6054,760,337,3709,3363,373,1036,4741,-0.14865454062611472,152
"Wichita,KS",494,7061,806,1164,3933,2981,2987,1508,6036,-0.1570413800945434,153
"Tyler,TX",500,7298,672,955,3460,3283,404,631,7327,-0.17747566857800534,154
"Reading,PA",614,7614,1154,522,3120,3028,1108,1549,5587,-0.1787900498543719,155
"Waterloo-Cedar-Falls,IA",347,7881,925,700,3351,2889,3000,1900,4407,-0.19214169356034339,156
"Sarasota,FL",391,9560,801,939,3742,2626,817,2535,7715,-0.20007763918426608,157
"Florence,SC",552,6508,818,1334,4963,3109,628,800,4842,-0.207524395281571,158
"Manchester,NH",404,9860,737,633,4595,2728,475,837,7101,-0.2077152681357959,159
"Las-Vegas,NV",556,9906,412,1913,5900,2241,1586,3996,6035,-0.20853490053010437,160
"Allentown,Bethlehem,PA-NJ",559,8288,621,514,2881,3144,2333,1117,5097,-0.21855383576072096,161
"Spokane,WA",574,6927,497,869,5534,2774,2988,1517,4722,-0.2195789897609337,162
"Vallejo-Fairfield-Napa,CA",821,10503,1079,964,4153,2498,2962,1559,5819,-0.22006472429359436,163
"Savannah,GA",542,6896,1084,1614,5958,2456,2262,2237,5591,-0.2327218144048587,164
"Portsmouth-Dover-Rochester,NH-ME",469,9966,596,475,2321,3026,165,1390,8367,-0.23354649362545918,165
"Little-Rock,North-Little-Rock,AR",497,7270,1861,1328,4186,2581,2180,1462,5273,-0.2398049782504933,166
"Bismarck,ND",149,8365,804,413,4303,2686,1211,1630,6019,-0.2448053616759569,167
"Materbury,CT",569,10024,1218,789,2434,2995,318,946,5656,-0.24587169441700513,168
"Colorado-Springs,CO",526,8509,721,1086,3389,2754,1749,2375,7699,-0.2462397844074103,169
"Lawrence-Haverhill,MA-NH",548,10414,1202,909,3575,2479,2111,1879,6527,-0.24630255323277592,170
"Grand-Rapids,MI",513,7780,1274,952,3454,2705,3255,1909,4848,-0.2502124992961513,171
"Provo-Orem,UT",500,9321,198,485,4546,2618,1985,3300,3459,-0.25052428981021646,172
"Muncie,IN",530,5800,949,783,4325,2965,2498,1428,3980,-0.25807159251725376,173
"Bristol,CT",516,10041,975,545,4495,2628,514,777,6527,-0.26177655362371544,174
"Fort-Pierce,FL",602,8842,527,1422,2143,3154,368,2058,7973,-0.26500100300450485,175
"Daytona-Beach,FL",561,7203,723,1347,4117,2612,809,3967,6592,-0.27095203889788333,176
"Utica-Rome,NY",548,6744,391,400,4592,2970,858,1750,5226,-0.2721580897873685,177
"Appleton-Oshkosh-Neenah,WI",396,7877,833,525,3298,2844,1166,2315,5275,-0.27448831657636313,178
"State-College,PA",575,8405,612,540,2740,3169,1271,1200,4677,-0.2815535674615775,179
"Melbourne-Titusville-Palm-Bay,FL",582,8721,517,1039,2560,2814,437,3800,7089,-0.2837960086094131,180
"Green-Bay,WI",367,8401,916,583,3793,2622,2547,1925,5650,-0.28689078709926047,181
"East-St.-Louis-Belleville,IL",537,6501,444,1096,6539,2630,904,1610,6113,-0.29955630272030975,182
"Ocala,FL",333,6750,489,1327,3798,2864,266,3095,7060,-0.30330122147280003,183
"Erie,PA",605,7715,529,635,5754,2641,2032,1340,4299,-0.3086329407649388,184
"Cedar-Rapids,IA",434,7774,837,714,5270,2619,904,1501,5009,-0.31353590814968313,185
