Ciudad,Principal_PCA80,Promedio_directo,PCA_Kaiser,Prioridad_talento,Ajuste_sin_atípicos,Rank_Principal_PCA80,Rank_Promedio_directo,Rank_PCA_Kaiser,Rank_Prioridad_talento,Rank_Ajuste_sin_atípicos
"Abilene,TX",-0.626581994148854,0.1615525035472973,-0.6379879018763741,-0.5978458494607913,-0.48790957970270527,243.0,121.0,247.0,238.0,209.0
"Akron,OH",0.08937367500172122,0.22726375488134068,0.12443679363462078,-0.05349050780076511,0.10917809251377256,120.0,110.0,109.0,146.0,116.0
"Albany,GA",-1.0500005603726366,-1.4296930221568103,-0.9916658953938567,-1.0087098843468898,-1.19474289365846,305.0,319.0,306.0,299.0,317.0
"Albany-Schenectady-Troy,NY",1.1011920960336739,1.4590090080459692,0.9752930623191732,1.365678640257505,1.1319499989151711,40.0,22.0,44.0,31.0,38.0
"Albuquerque,NM",0.9039965286463404,1.1534522814652213,1.0510718123024017,0.7230315377871822,1.2975359633118266,49.0,36.0,41.0,53.0,30.0
"Alexandria,LA",-0.768901885741532,-0.4736694195543698,-0.7526492678609291,-0.602815113049547,-0.616062912664727,265.0,215.0,269.0,242.0,238.0
"Allentown,Bethlehem,PA-NJ",-0.21855383576072096,-0.14342325508557444,-0.33945472710250163,0.007215468936146004,-0.16032057875729586,161.0,156.0,185.0,133.0,163.0
"Alton,Granite-City,IL",-0.10972118548717394,0.41076723860033076,-0.13467012005336643,0.025347986575989526,0.052272686804967765,143.0,89.0,142.0,131.0,125.0
"Altoona,PA",-0.6785482299734615,-0.23344786900584047,-0.7375083251285912,-0.5221097626645543,-0.4705003581161418,252.0,169.0,265.0,227.0,206.0
"Amarillo,TX",-0.3448032096675042,0.12943004800584193,-0.2561943446535663,-0.3423955596703427,-0.004318129917868856,199.0,125.0,167.0,192.0,135.0
"Anaheim-Santa-Ana,CA",1.1504722798367955,0.9278379672243181,0.915018955982346,0.9024379513531602,1.1981184528104638,38.0,49.0,46.0,48.0,32.0
"Anchorage,AK",0.12316347023978069,-0.9449582728816643,-0.06648525425297762,0.00935430779114973,-0.8943272237716299,115.0,285.0,136.0,132.0,284.0
"Anderson,IN",-1.284640952943296,-1.534675596804161,-1.1292813986827632,-1.2687868697555422,-1.1534650628754832,320.0,325.0,317.0,315.0,314.0
"Anderson,SC",-0.988825289363314,-1.0033302953419525,-0.8288601447219206,-0.9279769210120142,-0.6962484615392213,297.0,294.0,281.0,290.0,249.0
"Ann-Arbor,MI",1.2166212308683222,0.5076966310173555,1.1870815317618226,1.2958087633117177,1.0526049227706598,33.0,75.0,37.0,32.0,44.0
"Anniston,AL",-1.4501508230906224,-1.378028216595899,-1.247400098516134,-1.595781754716663,-1.286505488796078,326.0,317.0,323.0,327.0,321.0
"Appleton-Oshkosh-Neenah,WI",-0.27448831657636313,-0.21732214249499157,-0.4364775045225001,-0.13858702085728067,-0.5552599980467148,178.0,167.0,209.0,161.0,219.0
"Asheville,NC",0.03863848285601155,0.9457108285001239,-0.003694214870209649,0.13307805588213495,0.5030382701377497,125.0,46.0,125.0,118.0,76.0
"Athens,GA",-0.9456726992054568,-0.8026817003968603,-0.8476134130462404,-0.9430524466186532,-0.763469292737742,294.0,267.0,286.0,292.0,265.0
"Atlanta,GA",1.6675611459621837,2.1028401090261983,1.8193113843086317,1.6323043116147131,2.014314358563228,22.0,15.0,18.0,26.0,13.0
"Atlantic-City,NJ",0.042224333979025995,-0.24237713404504385,0.11490179993837904,-0.25796079990577914,0.13394341228589393,124.0,171.0,111.0,174.0,114.0
"Augusta,GA-SC",-0.4051324857127944,-0.2567283506345244,-0.34120274754903535,-0.2665983307965766,-0.35203128561665725,208.0,174.0,186.0,177.0,189.0
"Aurora-Elgin,IL",-0.3851456845124483,-0.9978129322463128,-0.4552660807114518,-0.467557603480467,-0.850096329685369,206.0,292.0,214.0,213.0,279.0
"Austin,TX",0.15391647197747121,-0.01160036539716697,0.11168465841937239,0.2899657427248684,-0.08076738080466614,108.0,142.0,112.0,91.0,152.0
"Bakersfield,CA",-0.7291784451551269,-1.0515345615174871,-0.5454577021037701,-0.9303193346944395,-0.61050536591401,259.0,303.0,228.0,291.0,236.0
"Baltimore,MD",2.330219342581957,2.112500690035352,2.5325944165137413,2.2332334175129738,2.5032084290079815,8.0,14.0,8.0,10.0,8.0
"Bangor,ME",0.12470300523897375,0.3932830976386633,0.03553414448179881,0.2339787083272433,0.10504126510577466,114.0,92.0,119.0,100.0,119.0
"Baton-Rouge,LA",-0.578897953123963,-1.217350074054904,-0.4060985391520171,-0.6972161012621062,-0.7396012763918115,234.0,315.0,203.0,257.0,262.0
